Video Title,Thumbnail URL,Description
전 해병대 수사단장 박정훈 대령 기소 관련 변호인단·군인권센터 기자회견/2023년 10월 10일(화)/,https://i.ytimg.com/vi/mPOFH4bju4U/hqdefault.jpg,"군 검찰이 박정훈 전 해병대 수사단장을 불구속 기소한 가운데 변호인단과 군인권센터가 오늘(10일) 오전 이와 관련한 기자회견을 엽니다. 국방부 검찰단은 지난 6일 박 전 단장을 항명과 상관 명예훼손 혐의로 불구속 기소했습니다. 박 전 단장은 7월 31일 김계환 해병대 사령관으로부터 장관 귀국 시까지 채 상병 관련 조사 기록을 경찰에 넘기지 말라는 지시를 받았음에도 이를 따르지 않고 경찰에 이첩한 혐의를 받고 있습니다.또 이종섭 국방부 장관이 보고받는 자리에서 혐의자에 사단장을 포함해야 하는지 질문하지 않았지만 이를 사실처럼 언론에 밝혀 상관인 장관의 명예훼손을 한 혐의도 받고 있습니다.군 검찰단은 ""수사 초기부터 이번 기소에 이르기까지 다수의 관계자와 관련 자료 조사, 압수수색, 휴대전화 포렌식 등을 통해 혐의에 대한 면밀한 수사를 실시했다""고 설명했습니다.앞서 군 검찰은 지난 8월 박 전 단장에 대해 구속영장을 청구했지만 군사 법원은 기각했습니다. 이후 박 전 단장은 지난달 두 차례 군 검찰에 출석해 조사를 받았습니다.#해병대 #박정훈대령 #채상병 #군인권센터 #기자회견"
곧 운명이 바뀔지도 모른다는 100원 동전의 위기 상황 /  .,https://i.ytimg.com/vi/0ATgw7ZB3Oc/hqdefault.jpg,"사람들은 돈을 보면서 우리 역사 속 위인을 떠올립니다.[박혜림/서울 강남구 : ""세종대왕, 그리고 신사임당.""][조민호/서울 동작구 : ""이순신 장군이요. 최근에 아이들한테 용돈 줄 때 동전을 좀 써서 먼저 떠올랐어요.""]매일 돈을 쓰는 만큼 위인의 존재감도 더 선명하게 드러납니다.[조영진/인천 미추홀구 : ""백 원짜리 동전에 보면 얼굴이 그려져 있잖아요. 그 모습으로 기억하고 있는 거죠.""]그런데 1983년부터 100원 동전의 앞면을 지켜온 이순신 장군의 얼굴, 영정이 법적 분쟁에 휩싸였습니다.100원 속 이순신 장군의 영정을 그린 고 장우성 화백의 유족이 한국은행을 상대로 40년 동안의 저작권료를 요구하는 소송을 낸 겁니다.한국은행은 1975년 초상을 사용하기로 하면서 당시 돈으로 150만 원을 지급했습니다.문제는 계약서가 사라지면서 당시 계약 기간과 조건을 확인할 수 없다는 점입니다.유족은 화폐 영정을 주화에 사용한 데 대해 40년 동안의 사용료를 따로 받아야 한다고 주장하지만, 한국은행은 저작권 자체를 넘겨받았다는 입장입니다.[정연덕/건국대학교 법학전문대학원 교수 : ""그림을 그리신 분이 사망했기 때문에 당사자의 의사를 추정할 수가 없거든요. 그러니까 이게 저작권이 양도됐으면 아무 상관이 없는데, 이용 허락 기간이 설정이 안 됐기 때문에...""]전문가들은 당시 150만 원의 가치가 저작권 전체를 양도 할만한 금액인지를 놓고 치열한 법정 공방이 벌어질 것으로 봅니다.당시 150만 원을 요즘 가치로 환산하면 지난해 기준 약 1,705만 원입니다.유족은 저작권 문제뿐 아니라 장 화백의 친일 행적 논란이 제기된 데 대한 유감도 드러내고 있습니다.소송 결과에 따라 영정 반환도 요구할 수 있단 입장입니다.동전 속 이순신 장군의 운명을 가늠할 1심 판결은 이달 중순에 나올 예정입니다. 뉴스 김혜주입니다.#100원 #백원 #동전"
한라산 산정호수에 그물...파닥거리며 올라온 정체 /   .,https://i.ytimg.com/vi/Jtm5jlpHrBw/hqdefault.jpg,"한라산국립공원에는 물이 고여 만들어진 신비로운 산정호수가 여럿 있죠. 이 산정호수엔 물고기가 살고 있을까요? 제주도가 처음으로 한라산국립공원 내 민물고기 실태를 조사하고 있습니다. 현장을 문준영 기자가 동행 취재했습니다. [리포트] 한라산이 마치  자식처럼 품고 있는 듯한 분화구. 사계절 물이 마르지 않아 다양한 희귀 야생동식물이  서식하는 물장오리입니다. 천연기념물이자 람사르 습지로 등록돼  출입이 엄격히 통제된 곳입니다. 취재진이 연구진과 능선을 따라 900여 m를 올라가자 물장오리에 있는 산정호수가 눈 앞에 펼쳐집니다. 화산지대인 이곳 산정호수엔 물고기가 있을까. 제주도세계유산본부가 한라산국립공원 내에서 처음으로 공식적인 어류 조사를 시작했습니다. 연구진이 조심스럽게 물에 들어가고, 물에 담근 족대를 건져 올리자 그물에 무언가가 파닥거리며 올라옵니다. 민물고기인 '미꾸리'입니다. 미꾸라지와 달리 노란색 바탕에, 꼬리지느러미 시작 부분의 검은 점이 특징입니다. [이완옥/(사)한국민물고기보존협회장  :  ""강원도나 이런 지역에 이런 습지들이 많이 있어요.  그런데 그런 지역들은 어류보다는 양서파충류들이 주로 많거든요.  이렇게 높은 지역에 독립적으로 나오는 것은 여기가 제일 높지 않을까.""] 현장 1, 2m 반경에서 한 번에 많게는 5마리씩  잡혀 올라올 정도입니다. 보시는 것처럼 물장오리에 미꾸리가 대단위 서식하는 것으로 파악됐습니다. 한라산의 생태 환경과 어류의 서식 형태를 연구하는데 중요한 계기가 될 것으로 보입니다. 이곳 물장오리에서 미꾸리가 발견된 건 과거에도 보고된 적 있지만, 어떤 경로로 서식하게 됐는지는 명확히 밝혀지지 않았습니다. 펄 속에 살기 때문에  조류에 의해 옮겨졌을 가능성이 낮아  누군가 방생했을 가능성에 무게가 실립니다. [안웅산/박사/제주도세계유산본부 한라산연구부  :  ""그동안 담수어(민물고기)류들이 분포할 거라는 추정은 있었으나 실체는 확인하지 못했습니다.  DNA도 분석하는 연구를 해서 특징들을 밝혀내려고 합니다.""] 해발 1,100m에 있는  1100고지와 사라오름에선 별다른 개체가 발견되지 않았습니다. 연구진은 다음 달까지 해발 1,600m에 있는 한라산 소백록과 계곡 등에서 어류 조사를 이어갈 계획입니다.  뉴스 문준영입니다. 촬영기자:고아람#한라산 #산정호수 #미꾸리"
"부산국제영화제, 영향력 커진 ‘OTT’  /   .",https://i.ytimg.com/vi/ts5cBm3jo5E/hqdefault.jpg,"부산국제영화제가  축제의 후반부로 향해 가고 있습니다. 물론 아직 많은 일정이 남았지만  올해는 영화제 내내 넷플릭스나 디즈니플러스 등  OTT 작품들의 존재감이 대단한데요,  어떤 장단점이 있을까요. 오늘로 7일 차에 접어든  영화계 최대 행사 부산국제영화제! 그런데 개막식이 열린 후 어제까지 온라인동영상서비스 OTT 작품이나 관련 일정이 빠진 날은 단 하루도 없었습니다. 대표적으론  '글로벌 OTT 어워즈'가 개최돼  디즈니플러스의 흥행작 '무빙'이 작품상을 포함한 6관왕을 달성했고,  '더글로리'의 임지연 씨 등 인기 배우들도 수상자로 무대에 올랐는데요. 또 올해는 최신 영화를 소개하는 '온스크린' 부문에서 국내 OTT 5편이  상영된 걸 비롯해  대중적 관심이 큰 영화를  최초 공개하는  '스페셜 프리미어' 부문은 상영작 3편 중 2편이  OTT 콘텐츠였습니다. 이렇다 보니 일각에선  OTT가 부산국제영화제의 흥행을 견인하고 있다는 긍정적 반응과,  반대로 부산국제영화제가 원래의 취지 대신 OTT 홍보의 장으로 퇴색했다는  부정적 의견이 엇갈리고 있습니다. 지금까지 잇슈 연예 김진현이었습니다.#부산국제영화제 #OTT #무빙"
 '인질 처형' 하마스 경고에 이스라엘 "이제 시작"…'지상군 투입 임박' 전망 /  .,https://i.ytimg.com/vi/c3GXQr1-uy8/hqdefault.jpg,"이스라엘과 팔레스타인 무장정파 하마스의 무력 충돌이 극한으로 치닫고 있습니다.하마스는 이스라엘이 폭격을 지속하면 인질을 처형하겠다고 경고했고, 이스라엘 총리는 이제 시작이라고 강조했습니다.이스라엘이 지난 48시간 동안 예비군 30만 명을 동원하면서 지상군 투입이 임박했다는 전망도 나오는 가운데, 양측의 사망자는 1,500명에 육박하고 있습니다.00:00 이스라엘 “가자 봉쇄”…하마스 “폭격 시 인질 처형” /  / 우수경 특파원02:06 지옥이 된 이스라엘 축제…여성·어린이도 인질로 /  / 고은희 기자04:04 5개국 정상 “하마스 테러 규탄”…“미국인 최소 11명 사망” /  / 이정민 특파원#이스라엘 #하마스 #팔레스타인"
'가짜뉴스·문화 예산 삭감·블랙리스트' 등 쟁점…국회 문화체육관광위원회 국정감사/유인촌 장관·장미란 차관 등 참석/2023년 10월 10일(화)/,https://i.ytimg.com/vi/Qa8Bt5wK9zc/hqdefault_live.jpg,"국회 문화체육관광위원회는 오늘(10일) 오전 10시 문화체육관광부를 대상으로 국정감사를 진행합니다. 오늘 국감에는 유인촌 장관과 전병극 1차관, 장미란 2차관이 참석합니다. #국회국방위 #국정감사 #국방부 #신원식 #박정훈 #홍범도 "
직원도 뜻을 잘 모르겠다는 영국풍 빵집의 논쟁적 메뉴 / .,https://i.ytimg.com/vi/2w16GHRIdHo/hqdefault.jpg,"이른 오전부터 늘어선 대기줄.영국풍으로 입소문을 탄 유명 빵집입니다.간판에 적힌 건 무슨 뜻인지 알 수 없는 영어 문장.안으로 들어가도 마찬가지입니다.입구부터 소품, 메뉴판까지 한글을 찾아보기가 힘듭니다.[빵 가게 직원/음성변조 : ""(스프링 어니언이 쪽파예요?) 네 그게 이거예요.""]영어로 적힌 메뉴의 뜻을 물어보니, 직원도 잘 모릅니다.[빵 가게 직원/음성변조 : ""(브릭레인이 무슨 말이에요?) 잠시만요 여쭤보고 올게요.""]근처 또 다른 카페, 역시 메뉴판에는 한글이 한 자도 없습니다.'M.S.G.R''랜지 오'라는 음료는 정체가 뭔지 가늠하기 힘듭니다.[카페 직원/음성변조 : ""(랜지 오가 뭐예요?) 오렌지 주스요. (M.S.G.R이 뭐예요?) 미숫가루요.""]젊은 세대가 많이 찾는 가게에선 마치 유행 같은 영어 메뉴판.[카페 직원/음성변조 : ""(비튼 크림이 뭐예요?) 달고나 크림 같은 거라서...""]세대에 따라 반응은 엇갈립니다.[문영웅 : ""(처음 들었을 때 어떠셨어요? M.S.G.R.) 요즘에 워낙에 영어라든지 초성에 맞춰서 많이 써가지고 이질감은 없었습니다.""][홍명선 : ""젊은 사람들은 그거 알아듣나요? 한글을 먼저 쓰고 그 옆에 영어를 표기해야 하지 않을까...""]한글 외계어, 영어에서 한발 더 나아간 영어 외계어 메뉴판은 이해하는 사람만 즐기라는 '배제'의 문화로 이어질 우려도 있습니다.[이건범/한글문화연대 대표 : ""언어 능력에 따른 차별이거든요. 외국어 능력에 따라서 그 이용 여부를 차별하게 되는...""]서울 지역 가게 간판의 20% 이상을 외국어가 잠식한 상황.그나마 간판은 한글을 함께 쓰지 않으면 시정 요구나 이행강제금 부과가 가능하지만, 정체불명의 외국어 메뉴판은 어쩔 도리도 없습니다. 뉴스 이예린입니다.#한글날 #외계어 #한글"
달리는 차 위에 나타난 깜짝 동승자는…뉴욕 쥐?  /   .,https://i.ytimg.com/vi/pffwnPy8AZU/hqdefault.jpg,"교외 도로를 달리던 자동차! 그런데  갑자기  자동차 후드 위에 뜻밖의 동승자가 나타났는데요.    놀랍게도  살아있는 쥐 한 마리입니다. 당시 운전자는 뉴욕 브루클린을 출발해 차로 3시간 떨어진 교외 결혼식장에 가는 중이었는데요.  놀란 가슴을 진정할 틈도 없이 금세 후드 아래로  들어가 버린 녀석!  목적지에 도착하자마자 쥐를 쫓아내려 했지만 엔진 룸 속으로 깊이 들어가는 바람에 놓치고 말았고요. 이후 이틀 동안 안을 샅샅이 뒤졌지만 끝내 흔적조차 발견하지 못했다고 합니다.  영상을 본 현지 누리꾼들은 뉴욕시에 출몰하는 쥐 떼 중 한 마리가 흘러 들어간 것 같다며, 달리는 자동차 위에서도 뉴욕 거리에 있는 것 마냥 대범하게 돌아다니는 모습에 혀를 내두르는 반응을 보였습니다.#자동차 #쥐 #뉴욕"
더불어민주당 국정감사 대책회의/홍익표 원내대표 참석/2023년 10월 10일(화)/,https://i.ytimg.com/vi/KxaIQG2h9_8/hqdefault.jpg,21대 국회 마지막 국정감사가 시작되는 오늘(10일) 오전 더불어민주당은 국정감사 대책회의를 엽니다. #국정감사 #국회 #더불어민주당
'이스라엘-하마스' 전쟁 관련 경제 여파 등 대응책 논의..윤석열 대통령 주재 국무회의/2023년 10월 10일(화)/,https://i.ytimg.com/vi/2y3vpRs2xgs/hqdefault.jpg,윤석열 대통령은 오늘(10일) 오전 용산 대통령실에서 제42회 국무회의를 주재한다.윤 대통령은 오늘 국무회의에서 이스라엘-하마스 전쟁 상황 관련 경제 여파에 대한 대응책을 논의할 것으로 보입니다. #윤석열대통령 #국무회의 #대통령실 #이스라엘 #팔레이스타인 #하마스
 한 번 몰렸다 하면 2만 명...난리났다는 중국 '핫플' /   .,https://i.ytimg.com/vi/_pPVx0lcKl4/hqdefault.jpg,"최근 중국에서는 입장료 안 내는 '개방식 명소', 유명 거리가 '핫플'로 각광 받고 있습니다. [리포트]  상하이 백 년 역사의 축소판으로 불리는  화하이구 우캉로. 랜드마크인 우캉빌딩을 배경으로 한 인증샷과 맛집 방문은 필수 코스입니다. 인근 가게들은 매출이 작년보다 25%나 올랐다며 즐거운 비명을 지르고 있습니다. [위샹/중국 관영 CCTV 기자 : ""먹거리와 야시장 볼거리가 가득한 양푸구의 대학로는 밤이 되면서 활기가 넘칩니다.""] 날이 어둑해지자,  7백 미터 되는 야시장 거리에 사람이 몰리기 시작합니다. 한 번 몰렸다 하면 하루 평균 2만 명은 기본입니다. 상하이 하면 야경이 멋진 와이탄이죠. 지난 1일 중국 국경일 하루에만 61만 6천여 명이 와이탄을 다녀갔는데요. 1제곱미터 좁은 땅에 세 명이 서 있는 꼴로 혼잡 그 자체였다고 합니다. #중국 #핫플 #개방식명소"
"BTS 정국, 신곡 ‘3D’로 열일 행보  /   .",https://i.ytimg.com/vi/enB42Q8NElA/hqdefault.jpg,"안녕하십니까,  '잇슈 연예' 이어갑니다. 방탄소년단 멤버 '정국'씨가  다음 달 서울 장충체육관에서 팬들과 만납니다. 또 간밤에는  정국 씨의 새 노래가 미국 빌보드 차트 상위권에 진입했단 발표도 있었는데요. 함께 확인하시죠. 지난달 29일 공개된  정국 씨의  두 번째 솔로곡 '3D'가  빌보드 메인 싱글 차트 '핫 100'에서  5위를 기록했습니다. 빌보드는 현지 시간 9일  홈페이지 기사를 통해  이 같이 밝히며,  정국 씨가 앞서 1위를 차지한 노래 '세븐'에 이어  이번 신곡까지  방탄소년단 멤버 중 처음으로 솔로곡을 잇따라  10위권에 올려놓았다고 전했습니다. 한편 정국 씨는 그동안 싱글 형태로 발매한 노래와  신곡들을 더해  다음 달  모두 11곡이 수록된 첫 솔로 정규 앨범을 선보이는데요. 아울러  이를 기념하는 쇼케이스를 서울 중구 장충체육관에서  개최하며,  신곡 퍼포먼스와  앨범 제작에 얽힌 뒷이야기 등을  공개할 예정입니다.#방탄소년단 #정국 #3D"
이균용 부결 후 대법원장 공백 관련 공방…국회 법제사법위원회 국정감사/대법원·사법연수원 등/2023년 10월 10일(화)/,https://i.ytimg.com/vi/kLGPejVkDOA/hqdefault_live.jpg,국회 법제사법위원회가 오늘(10일) 대법원과 사법연수원 등을 대상으로 국정감사를 진행합니다. 오늘 법사위 국정감사에서는 30년 만에 벌어진 대법원장 공백 사태를 두고 여야가 정면충돌할 것으로 보입니다. #국회법사위 #대법원 #사법연수원 #이균용 #대법원장
'해병대 채 모 상병 사망사건' 등 쟁점…국회 국방위 국정감사/홍범도 장군 흉상 이전 논란 등 격돌/2023년 10월 10일(화)/,https://i.ytimg.com/vi/zOwlIR8bmsU/hqdefault_live.jpg,"국회 국방위원회가 오늘(10일) 국방부와 직할부대, 산하기관 등을 대상으로 국정감사를 진행합니다. 오늘 오전 10시부터 시작되는 국방위 국감에서는 '해병대 채모 상병 사망사건'과 홍범도 장군 흉상 이전 논란 등 각종 현안을 두고 난타전이 예상됩니다.#국회국방위 #국정감사 #국방부 #신원식 #박정훈 #홍범도 "
